 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-20  00:00:13 , 0 , 2022-07-20  00:00:00 , 81.40813634742119 , 5.128252513900549 , 0 , 2022 , 07 , 20 , 00 , 00 , 2.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  01:00:17 , 0 , 2022-07-20  01:00:00 , 81.41217642499069 , 5.116637207069232 , 0 , 2022 , 07 , 20 , 01 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  02:00:15 , 0 , 2022-07-20  02:00:00 , 81.41596772765922 , 5.118548281106257 , 0 , 2022 , 07 , 20 , 02 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  03:00:13 , 0 , 2022-07-20  03:00:00 , 81.41922661180655 , 5.133221306396791 , 0 , 2022 , 07 , 20 , 03 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  04:00:15 , 0 , 2022-07-20  04:00:00 , 81.42207780015931 , 5.159296402889282 , 0 , 2022 , 07 , 20 , 04 , 00 , 1.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  05:00:14 , 0 , 2022-07-20  05:00:00 , 81.42436304237623 , 5.193788271772149 , 0 , 2022 , 07 , 20 , 05 , 00 , 2.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  06:00:16 , 0 , 2022-07-20  06:00:00 , 81.42565318498927 , 5.228694541972544 , 0 , 2022 , 07 , 20 , 06 , 00 , 4.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  07:00:19 , 0 , 2022-07-20  07:00:00 , 81.42618292130129 , 5.259448752370389 , 0 , 2022 , 07 , 20 , 07 , 00 , 3.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  08:00:45 , 0 , 2022-07-20  08:00:00 , 81.42600991880954 , 5.284126417882817 , 0 , 2022 , 07 , 20 , 08 , 00 , 2.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-20  09:00:15 , 0 , 2022-07-20  09:00:00 , 81.42521799655069 , 5.303137916513549 , 0 , 2022 , 07 , 20 , 09 , 00 , 3.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
